#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
130500	261.0000000005181	-1640364.0134112826	323924.9356992708	-1316439.0777120118	302.09138040255027	1270.021599633281	1.0090998763525698	10.4
131000	262.0000000005229	-1637271.7741423892	323041.2641203188	-1314230.5100220703	301.26727105594557	1272.1547858190188	1.0074077882983012	10.5
131500	263.0000000005277	-1639325.435381079	321953.7600160933	-1317371.6753649858	300.2530681347357	1268.3296235347445	1.0104460349852653	10.5
132000	264.00000000053245	-1638037.6038146112	320410.7832172911	-1317626.82059732	298.81409280524144	1271.2492151698123	1.0081254122810568	10.5
132500	265.0000000005372	-1637916.5082677854	320967.133530577	-1316949.3747372085	299.3329433647549	1273.9806141889371	1.0059640035974464	10.5
133000	266.000000000542	-1640079.275528052	322373.0500257233	-1317706.2255023285	300.64409668437384	1274.3116044013032	1.005702714099624	10.5
133500	267.0000000005468	-1638246.3000668697	321551.6504148112	-1316694.6496520585	299.87806198010855	1273.8438498516634	1.0060720074161946	10.6
134000	268.00000000055155	-1641389.0916101942	322836.48727493646	-1318552.6043352578	301.07629681136484	1271.9245741897178	1.0075901237866005	10.6
134500	269.0000000005563	-1638885.2562815417	320955.90233339625	-1317929.3539481454	299.32246918544365	1271.614500947752	1.0078358167509558	10.6
135000	270.0000000005611	-1639658.5657282723	322130.86293562024	-1317527.702792652	300.41823376274675	1270.8985106863954	1.008403604519824	10.6
135500	271.0000000005659	-1638495.7909255773	322077.56535846204	-1316418.2255671152	300.3685286092331	1270.906031317438	1.008397637256104	10.6
136000	272.00000000057065	-1639806.3589264369	323098.66767072433	-1316707.6912557124	301.32080542724856	1270.6717165550256	1.0085835880801546	10.6
136500	273.0000000005754	-1639664.3518725643	323205.68819553463	-1316458.6636770298	301.4206124334661	1272.4269964470147	1.0071922732962884	10.6
137000	274.0000000005802	-1638527.8090316458	322127.3440173587	-1316400.465014287	300.41495203059833	1271.8001937316515	1.007688664832401	10.7
137500	275.000000000585	-1638207.0446336633	322279.6053102907	-1315927.4393233727	300.5569504354584	1271.248811272281	1.0081257325797752	10.7
138000	276.00000000058975	-1637864.7303682398	323512.0345550369	-1314352.6958132028	301.7063100887687	1273.2280188166194	1.0065586212485167	10.7
138500	277.0000000005945	-1639216.0961662913	322158.62263355346	-1317057.4735327377	300.44412237008754	1271.0757919157807	1.0082629590666865	10.7
